"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
2.7276,1.0989,0.071737,0.11555,1.2075,0.089403,0.50134,274.05,89.817,0
1.9855,0.94034,-0.0092123,0.070444,1.1369,0.11318,0.6879,288.04,89.863,0
1.7388,0.7986,-0.052573,0.053478,0.94552,0.10393,0.69338,302.03,89.893,0
1.6476,0.64786,-0.08516,0.045836,0.85041,0.098967,0.40308,316.02,89.912,0
1.6324,0.5749,-0.09938,0.043801,0.82354,0.097506,0.22272,330,89.921,0
9.9349,-0.65968,0.1073,0.20195,1.4643,0.067149,151.06,-20,103.87,0
8.8202,-2.7871,0.40537,0.26278,1.3455,0.049393,156.24,-5.8498,103.83,0
0.86134,-12.612,-1.9479,0.70397,1.3355,0.017682,137.15,8.1902,104.13,0
0.029539,1.6304,-0.34669,1.9171,3.5144,0.041575,-27.818,22.435,103.82,0
0.32489,1.2775,0.19322,0.014058,0.086541,0.0050251,-0.25871,63.784,103.97,0
-0.68632,-3.8391,0.34736,0.21093,0.598,0.012202,31.257,77.871,104,0
4.6618,-5.4542,-0.25322,0.89085,1.5117,0.01873,10.461,92.473,104.28,0
0.49451,-1.3816,-0.36992,0.56215,1.7993,0.038631,25.866,106.18,104.05,0
-0.98471,-0.44893,-0.45619,0.12632,0.6701,0.024469,23.954,134.05,104.06,0
0.2265,-4.7933,0.0018489,0.20801,0.55092,0.011782,17.016,218.05,104,0
-0.020789,-1.1565,0.031026,0.057512,0.37893,0.018776,0.040549,245.87,103.94,0
0.059776,0.11376,-0.18875,0.092126,0.83769,0.051497,-1.8032,259.94,103.88,0
0.93979,1.1639,-0.038897,0.080599,0.9801,0.081789,-0.72851,273.98,103.89,0
1.1576,1.1637,-0.021307,0.059523,1.0161,0.10739,0.077257,288,103.91,0
1.1482,1.0225,-0.032053,0.049178,0.89281,0.10122,0.41039,302.01,103.93,0
1.1675,0.83452,-0.062648,0.044423,0.83165,0.097957,0.32488,316.01,103.94,0
1.1886,0.73545,-0.080758,0.043074,0.81382,0.096974,0.21457,330,103.94,0
9.8185,-0.24914,0.15461,0.20193,1.4648,0.067158,173.11,-20,117.92,0
7.3693,-0.97244,0.63935,0.25187,1.3194,0.049013,187.21,-5.7083,117.96,0
-0.42936,-1.9563,-2.1524,0.51783,1.032,0.015695,212.96,8.1902,118,0
-1.2309,1.4262,0.91476,1.4766,3.0197,0.039059,6.1349,22.285,117.99,0
-0.13527,-0.15611,0.27292,0.37044,0.75559,0.013118,20.239,36.102,117.6,0
-0.53926,-0.46996,0.077808,0.097181,0.32102,0.0091829,29.675,77.871,118,0
-0.66538,-0.76436,0.31979,0.14437,0.45086,0.010671,25.358,92.127,118.58,0
-2.9746,-0.33694,-0.035914,0.20114,0.58657,0.012183,24.528,105.87,118.58,0
5.0567,-1.2749,-0.017114,0.37889,0.84526,0.014337,25.829,119.87,117.98,0
1.0742,0.63293,-0.1293,0.21457,0.90967,0.028154,23.944,134.04,118.08,0
0.97907,0.090636,-0.18992,0.22213,0.75945,0.020369,24.838,147.76,118.27,0
2.3105,-0.54362,-0.047537,0.19328,0.70124,0.019575,24.673,161.96,117.67,0
3.9039,-0.092499,0.038219,0.15967,0.47269,0.010986,20.737,176,117.56,0
4.0698,0.0036721,-0.047224,0.1421,0.43407,0.010581,21.154,190.03,117.54,0
3.4551,-0.83162,0.19261,0.15581,0.45778,0.010819,18.667,203.98,118.18,0
0.21602,1.8094,-0.12723,0.23572,0.61475,0.012361,21.145,218.1,118,0
-0.53906,-0.53806,0.049428,0.052395,0.36479,0.018459,1.1453,245.84,117.99,0
-1.1817,0.14313,-0.095386,0.058148,0.62539,0.045046,-0.98442,259.89,117.97,0
-0.50577,0.81752,-0.061801,0.060394,0.81332,0.075166,-0.70195,273.94,117.96,0
